Publication title,Link,Abstract,Date,Author information
an emotion type informed multi-task model for emotion cause pair extraction,https://pureportal.coventry.ac.uk/en/publications/an-emotion-type-informed-multi-task-model-for-emotion-cause-pair-,"Emotion-Cause Pair Extraction (ECPE) aims to jointly extract emotion clauses and the corresponding cause clauses from a document, which is important for user evaluation or public opinion analysis...",24 Jan 2024,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
average channel capacity bounds of a dynamic vehicle-to-vehicle visible light communication system,https://pureportal.coventry.ac.uk/en/publications/average-channel-capacity-bounds-of-a-dynamic-vehicle-to-vehicle-v,"As vehicles trajectories are unpredictable and changing dynamically, vehicle-to-vehicle visible light communication (V2V-VLC) experiences a dynamic channel...",29 Sept 2023,"['Olivier Haas, https://pureportal.coventry.ac.uk/en/persons/o-c-l-haas', 'Zahir Ahmad, https://pureportal.coventry.ac.uk/en/persons/zahir-ahmad']"
deep learning based forecasting of covid-19 hospitalisation in england: a comparative analysis,https://pureportal.coventry.ac.uk/en/publications/deep-learning-based-forecasting-of-covid-19-hospitalisation-in-en,"In the midst of the COVID-19 pandemic, it was essential to accurately forecast the demand for hospitalisation resources to achieve an effective allocation of healthcare resources...",19 Mar 2024,"['Michael Ajao-olarinoye, https://pureportal.coventry.ac.uk/en/persons/michael-ajao-olarinoye', 'Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade', 'Fei He, https://pureportal.coventry.ac.uk/en/persons/fei-he', 'Petra A Wark, https://pureportal.coventry.ac.uk/en/persons/petra-wark']"
editorial foreword to the special issue on artificial intelligence for hyper- and multi-spectral remote sensing image processing,https://pureportal.coventry.ac.uk/en/publications/editorial-foreword-to-the-special-issue-on-artificial-intelligenc,"In the current age of widespread application of artificial intelligence (AI) across various facets of life, satellite remote sensing is no outlier...",19 Mar 2024,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
effective natural language processing algorithms for early alerts of gout flares from chief complaints,https://pureportal.coventry.ac.uk/en/publications/effective-natural-language-processing-algorithms-for-early-alerts,"Early identification of acute gout is crucial, enabling healthcare professionals to implement targeted interventions for rapid pain relief and preventing disease progression, ensuring improved long-term joint function...",10 Mar 2024,"['Xiaorui Jiang, https://pureportal.coventry.ac.uk/en/persons/xiaorui-jiang', 'Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
"expressions of self: race, religion and representation of minoritised children and young people in the british care system",https://pureportal.coventry.ac.uk/en/publications/expressions-of-self-race-religion-and-representation-of-minoritis,This research report draws on original research to explore how care-experienced children and young people from minoritised backgrounds understand their identities...,17 Jan 2024,"['Sariya Cheruvallil-Contractor, https://pureportal.coventry.ac.uk/en/persons/sariya-cheruvallil-contractor', 'Alison Halford, https://pureportal.coventry.ac.uk/en/persons/alison-halford', 'Kusha Anand, https://pureportal.coventry.ac.uk/en/persons/kusha-anand']"
farmland segmentation in landsat 8 satellite images using deep learning and conditional generative adversarial networks,https://pureportal.coventry.ac.uk/en/publications/farmland-segmentation-in-landsat-8-satellite-images-using-deep-le,"Leveraging mid-resolution satellite images such as Landsat 8 for accurate farmland segmentation and land change monitoring is crucial for agricultural management, yet is hindered by the scarcity of labelled data for the training of supervised deep learning pipelines...",27 Feb 2024,"['Shruti Nair, https://pureportal.coventry.ac.uk/en/persons/shruti-nair', 'Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
forecasting global climate drivers using gaussian processes and convolutional autoencoders,https://pureportal.coventry.ac.uk/en/publications/forecasting-global-climate-drivers-using-gaussian-processes-and-c,Machine learning (ML) methods have become an important tool for modelling and forecasting complex high-dimensional spatiotemporal datasets such as those found in environmental and climate modelling applications...,21 Nov 2023,"['James Donnelly, https://pureportal.coventry.ac.uk/en/persons/james-donnelly', 'Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
graphical consensus-based sharding for efficient and secure sharings in blockchain-enabled internet of vehicles,https://pureportal.coventry.ac.uk/en/publications/graphical-consensus-based-sharding-for-efficient-and-secure-shari,Blockchain-enabled Internet of Vehicles provides a reliable collaboration environment for traffic entities and promotes road safety and traffic efficiency through real-time sharings between vehicles and infrastructure...,4 Sept 2023,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
graph neural network-based eeg classification: a survey,https://pureportal.coventry.ac.uk/en/publications/graph-neural-network-based-eeg-classification-a-survey,"Graph neural networks (GNN) are increasingly used to classify EEG for tasks such as emotion recognition, motor imagery and neurological diseases and disorders...",18 Jan 2024,"['Dominik Klepl, https://pureportal.coventry.ac.uk/en/persons/dominik-klepl', 'Fei He, https://pureportal.coventry.ac.uk/en/persons/fei-he']"
industrially scalable textile sensing interfaces for extended artificial tactile and human motion monitoring without compromising comfort,https://pureportal.coventry.ac.uk/en/publications/industrially-scalable-textile-sensing-interfaces-for-extended-art,"Smart wearables with the capability for continuous monitoring, perceiving, and understanding human tactile and motion signals, while ensuring comfort, are highly sought after for intelligent healthcare and smart life systems...",23 Mar 2024,"['Pengpeng Hu, https://pureportal.coventry.ac.uk/en/persons/pengpeng-hu']"
information geometry approach to analyzing simulated eeg signals of alzheimer's disease patients and healthy control subjects,https://pureportal.coventry.ac.uk/en/publications/information-geometry-approach-to-analyzing-simulated-eeg-signals-,"In this work, we explore information geometry theoretic approach to analyzing EEG signals simulated by stochastic nonlinear coupled oscillator models for both healthy subjects and Alzheimer’s Disease (AD) patients with both eyes-closed and eyes-open conditions...",18 Jan 2024,"['Eun-Jin Kim, https://pureportal.coventry.ac.uk/en/persons/e-j-kim', 'Fei He, https://pureportal.coventry.ac.uk/en/persons/fei-he']"
information geometry theoretic measures for characterizing neural information processing from simulated eeg signals,https://pureportal.coventry.ac.uk/en/publications/information-geometry-theoretic-measures-for-characterizing-neural,"In this work, we explore information geometry theoretic measures for characterizing neural information processing from EEG signals simulated by stochastic nonlinear coupled oscillator models for both healthy subjects and Alzheimer’s disease (AD) patients with both eyes-closed and eyes-open conditions...",28 Feb 2024,"['Eun-jin Kim, https://pureportal.coventry.ac.uk/en/persons/e-j-kim', 'Fei He, https://pureportal.coventry.ac.uk/en/persons/fei-he']"
investigative study of the effect of damping and stiffness nonlinearities on an electromagnetic energy harvester at low-frequency excitations,https://pureportal.coventry.ac.uk/en/publications/investigative-study-of-the-effect-of-damping-and-stiffness-nonlin,Ambient vibration energy is widely being harnessed as a source of electrical energy to drive low-power devices...,1 Jan 2024,"['Rajintha Gunawardena, https://pureportal.coventry.ac.uk/en/persons/raj-gunawardena']"
learning the consensus and complementary information for large-scale multi-view clustering,https://pureportal.coventry.ac.uk/en/publications/learning-the-consensus-and-complementary-information-for-large-sc,"The multi-view data clustering has attracted much interest from researchers, and the large-scale multi-view clustering has many important applications and significant research value...",5 Jan 2024,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
localization and mapping for self-driving vehicles: a survey,https://pureportal.coventry.ac.uk/en/publications/localization-and-mapping-for-self-driving-vehicles-a-survey,The upsurge of autonomous vehicles in the automobile industry will lead to better driving experiences while also enabling the users to solve challenging navigation problems...,7 Feb 2024,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
physics-informed neural networks as surrogate models of hydrodynamic simulators,https://pureportal.coventry.ac.uk/en/publications/physics-informed-neural-networks-as-surrogate-models-of-hydrodyna,"In response to growing concerns surrounding the relationship between climate change and escalating flood risk, there is an increasing urgency to develop precise and rapid flood prediction models...",26 Nov 2023,"['James Donnelly, https://pureportal.coventry.ac.uk/en/persons/james-donnelly', 'Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
supporting minoritised children’s identity: frontline briefing,https://pureportal.coventry.ac.uk/en/publications/supporting-minoritised-childrens-identity-frontline-briefing,"This briefing, and the tools contained within it, offer guidance on how social care practitioners can work with minoritised children and young people to explore their identities, meet their identity needs and promote positive identity development...",17 Jan 2024,"['Sariya Cheruvallil-Contractor, https://pureportal.coventry.ac.uk/en/persons/sariya-cheruvallil-contractor', 'Alison Halford, https://pureportal.coventry.ac.uk/en/persons/alison-halford', 'Kusha Anand, https://pureportal.coventry.ac.uk/en/persons/kusha-anand']"
uncertainty quantification of hydro-morphodynamic models using probabilistic surrogate models,https://pureportal.coventry.ac.uk/en/publications/uncertainty-quantification-of-hydro-morphodynamic-models-using-pr,"Quantifying uncertainty in complex hydro-morphodynamics models, particularly those governed by the Navier–Stokes partial differential equations (PDE), is a challenging task due to the complex and highly non-linear relationship of high-dimensional inputs and outputs, coupled with inherent computational complexity...",2024,"['Majdi Fanous, https://pureportal.coventry.ac.uk/en/persons/majdi-fanous', 'Omid Chatrabgoun, https://pureportal.coventry.ac.uk/en/persons/omid-chatrabgoun', 'Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
unlocking the potential of sensors for our environment: a call to action from a nerc writing retreat ,https://pureportal.coventry.ac.uk/en/publications/unlocking-the-potential-of-sensors-for-our-environment-a-call-to-,"Funded by NERC Constructed for the Digital Environment, the report is a culmination of an intensive co-creation process and writing retreat that brought together experts in the field of environmental sensing to explore how to accelerate advancements in environmental sensing and sensor networks that acknowledge and respond to the interconnections between people, places, and ethics...",10 Mar 2024,"['Elena Gaura, https://pureportal.coventry.ac.uk/en/persons/elena-gaura', 'Alison Halford, https://pureportal.coventry.ac.uk/en/persons/alison-halford', 'Marco Van De Wiel, https://pureportal.coventry.ac.uk/en/persons/marco-van-de-wiel']"
w2h-net: fast prediction of waist-to-hip ratio from single partial dressed body scans in arbitrary postures via deep learning,https://pureportal.coventry.ac.uk/en/publications/w2h-net-fast-prediction-of-waist-to-hip-ratio-from-single-partial,"The Waist-to-Hip Ratio (WHR) is an important indicator for health risk prediction, body fat distribution, body shape analysis, and physical fitness analysis...",1 Mar 2024,"['Pengpeng Hu, https://pureportal.coventry.ac.uk/en/persons/pengpeng-hu']"
a comparative study of fll and pll in boost pfc converter control for smart greenhouse farming application,https://pureportal.coventry.ac.uk/en/publications/a-comparative-study-of-fll-and-pll-in-boost-pfc-converter-control,"LED lights have become very popular recently for smart farming applications, where they provide artificial light as the substitute for sunlight in a greenhouse or indoor farming environment...",28 Sept 2023,"['Miao Lin Pay, https://pureportal.coventry.ac.uk/en/persons/miao-lin-pay', 'Jesper Christensen, https://pureportal.coventry.ac.uk/en/persons/jesper-christensen', 'Fei He, https://pureportal.coventry.ac.uk/en/persons/fei-he', 'Laura C. Roden, https://pureportal.coventry.ac.uk/en/persons/laura-roden']"
adaptive gated graph convolutional network for explainable diagnosis of alzheimer’s disease using eeg data,https://pureportal.coventry.ac.uk/en/publications/adaptive-gated-graph-convolutional-network-for-explainable-diagno,Graph neural network (GNN) models are increasingly being used for the classification of electroencephalography (EEG) data...,4 Oct 2023,"['Dominik Klepl, https://pureportal.coventry.ac.uk/en/persons/dominik-klepl', 'Fei He, https://pureportal.coventry.ac.uk/en/persons/fei-he']"
an extended plant circadian clock model for characterising flowering time under different light quality conditions,https://pureportal.coventry.ac.uk/en/publications/an-extended-plant-circadian-clock-model-for-characterising-flower,Speed breeding has recently emerged as an innovative agricultural technology solution to meet the ever-increasing global food demand...,9 Jan 2023,"['Miao Lin Pay, https://pureportal.coventry.ac.uk/en/persons/miao-lin-pay', 'Jesper Christensen, https://pureportal.coventry.ac.uk/en/persons/jesper-christensen', 'Fei He, https://pureportal.coventry.ac.uk/en/persons/fei-he', 'Laura Roden, https://pureportal.coventry.ac.uk/en/persons/laura-roden']"
an iterated greedy algorithm with variable reconstruction size for the obnoxious p-median problem,https://pureportal.coventry.ac.uk/en/publications/an-iterated-greedy-algorithm-with-variable-reconstruction-size-fo,The obnoxious p-median problem is a facility location problem where we maximise the sum of the distances between each client point and its nearest facility...,3 Jul 2023,"['Matthew England, https://pureportal.coventry.ac.uk/en/persons/matthew-england']"
a review on automatic generation of attack trees and its application to automotive cybersecurity,https://pureportal.coventry.ac.uk/en/publications/a-review-on-automatic-generation-of-attack-trees-and-its-applicat,A comprehensive cybersecurity evaluation of automotive on-board networks has become a crucial antecedent to the commercial distribution of vehicles...,14 Jun 2023,"['Kacper Jakub Sowka, https://pureportal.coventry.ac.uk/en/persons/kacper-jakub-sowka', 'Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade', 'Hesam Jadidbonab, https://pureportal.coventry.ac.uk/en/persons/hesam-jadidbonab']"
artificial intelligence for skeleton-based physical rehabilitation action evaluation: a systematic review,https://pureportal.coventry.ac.uk/en/publications/artificial-intelligence-for-skeleton-based-physical-rehabilitatio,Performing prescribed physical exercises during home-based rehabilitation programs plays an important role in regaining muscle strength and improving balance for people with different physical disabilities...,31 Mar 2023,"['Sara Sardari, https://pureportal.coventry.ac.uk/en/persons/sara-sardari', 'Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah', 'Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade', 'Michael Duncan, https://pureportal.coventry.ac.uk/en/persons/michael-duncan']"
automatic detection of coil position in the chest x-ray images for assessing the risks of lead extraction procedures,https://pureportal.coventry.ac.uk/en/publications/automatic-detection-of-coil-position-in-the-chest-x-ray-images-fo,The lead extraction procedures are for the patients who already have pacemaker implanted and leads need to be replaced...,16 Jun 2023,"['Pengpeng Hu, https://pureportal.coventry.ac.uk/en/persons/pengpeng-hu']"
a word-level adversarial attack method based on sememes and an improved quantum-behaved particle swarm optimization,https://pureportal.coventry.ac.uk/en/publications/a-word-level-adversarial-attack-method-based-on-sememes-and-an-im,The goal of textual adversarial attack methods is to replace some words in an input text in order to make the victim model misbehave...,19 Jun 2023,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
causality analysis with information geometry: a comparison,https://pureportal.coventry.ac.uk/en/publications/causality-analysis-with-information-geometry-a-comparison,"The quantification of causality is vital for understanding various important phenomena in nature and laboratories, such as brain networks, environmental dynamics, and pathologies...",16 May 2023,"['Heng Jie Choong, https://pureportal.coventry.ac.uk/en/persons/heng-jie-choong', 'Eun-jin Kim, https://pureportal.coventry.ac.uk/en/persons/e-j-kim', 'Fei He, https://pureportal.coventry.ac.uk/en/persons/fei-he']"
challenges and prospects of climate change impact assessment on mangrove environments through mathematical models,https://pureportal.coventry.ac.uk/en/publications/challenges-and-prospects-of-climate-change-impact-assessment-on-m,"The impacts of climate change, especially sea-level rise, are an increasing threat to the world’s coastal regions...",25 Feb 2023,"['Majdi Fanous, https://pureportal.coventry.ac.uk/en/persons/majdi-fanous', 'Jonathan Eden, https://pureportal.coventry.ac.uk/en/persons/jonathan-eden', 'Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
clustering in the lazard method for cylindrical algebraic decomposition,https://pureportal.coventry.ac.uk/en/publications/clustering-in-the-lazard-method-for-cylindrical-algebraic-decompo,Cylindrical Algebraic Decomposition (CAD) is an algorithm originally proposed by Collins in [4]...,13 Dec 2023,"['Tereso del Río, https://pureportal.coventry.ac.uk/en/persons/tereso-del-r%C3%ADo-almajano', 'AmirHosein Sadeghimanesh, https://pureportal.coventry.ac.uk/en/persons/amirhosein-sadeghimanesh', 'Matthew England, https://pureportal.coventry.ac.uk/en/persons/matthew-england']"
